NIC,gender,age,hypertension,heart_disease,bmi,HbA1c_level,blood_glucose_level,diabetes
754802052V,0,13.0,0,0,20.82,5.8,126,0
740956243V,0,3.0,0,0,21.0,5.0,145,0
198102433072,1,63.0,0,0,25.32,3.5,200,0
198196701351,0,2.0,0,0,17.43,6.1,126,0
198282583015,0,33.0,0,0,40.08,6.2,200,1
199770054888,0,70.0,0,0,23.89,6.5,200,0
858876049V,0,51.0,0,0,27.32,5.0,158,0
983062699V,0,12.0,0,0,27.32,4.8,158,0
718262832V,0,45.0,0,0,27.32,6.2,145,0
198454819222,0,19.0,0,0,27.32,6.2,90,0
765000302V,0,30.0,0,0,32.04,5.0,130,0
836245149V,0,43.0,0,0,22.53,6.5,90,0
985711377V,1,60.0,0,0,27.32,4.5,80,0
803120071V,0,27.0,0,0,27.32,6.0,200,0
198577400086,0,39.0,0,0,34.94,4.5,130,0
717080771V,1,80.0,0,0,25.55,6.5,126,1
198234662792,0,29.0,0,0,33.22,3.5,159,0
199644184958,1,45.0,0,0,27.32,3.5,100,0
748521148V,1,25.0,0,0,27.32,6.6,200,0
965699119V,0,13.0,0,0,16.6,4.0,160,0
939745400V,0,65.0,0,0,32.31,4.8,80,0
199217656572,0,43.0,0,0,35.93,6.5,100,0
200364786837,0,50.0,0,0,22.74,6.5,200,0
198830770953,1,55.0,1,1,31.64,4.5,80,0
198093772016,0,80.0,1,0,27.96,5.7,160,0
726559245V,0,22.0,0,0,19.64,6.5,100,0
198507248127,0,57.0,1,0,47.55,5.7,85,0
818500311V,1,39.0,0,0,27.32,5.7,160,0
199158100554,0,62.0,1,0,36.0,5.8,155,0
797306769V,0,74.0,0,0,19.31,6.5,90,0
199443853964,0,31.0,0,0,27.32,5.7,90,0
975693510V,0,69.0,0,0,25.74,6.0,145,0
757081737V,1,41.0,0,0,26.99,5.0,200,0
198933471379,1,54.0,0,0,27.32,6.1,200,0
200462326788,1,42.0,0,0,23.11,5.0,145,0
200599103642,1,14.0,0,0,31.35,5.7,159,0
198350387459,1,11.0,0,0,26.9,3.5,159,0
200149700490,1,10.0,0,0,17.73,6.6,90,0
916661926V,1,61.0,0,0,27.32,5.8,90,0
970156510V,0,39.0,0,0,44.38,7.0,130,1
916760953V,0,12.0,0,0,19.95,5.7,130,0
776088168V,0,47.0,0,0,28.42,4.8,100,0
198813666162,0,13.0,0,0,16.5,6.6,80,0
909203808V,1,18.0,0,0,27.32,6.6,130,0
198298648332,1,58.0,1,0,32.48,8.8,155,1
198642244596,1,20.0,0,0,22.35,4.5,126,0
199810170077,0,17.0,0,0,25.88,6.5,90,0
200070382505,1,62.0,0,1,25.43,3.5,80,0
704906069V,0,50.0,0,0,29.81,4.5,90,0
199302533087,1,54.0,0,0,24.8,5.7,80,0
751664150V,0,13.0,0,0,26.74,5.7,140,0
874134130V,0,4.0,0,0,16.46,6.6,200,0
720916634V,1,51.0,1,0,34.06,8.8,159,1
759036832V,1,68.0,0,1,27.32,6.1,145,1
790426694V,0,47.0,0,0,24.03,3.5,85,0
935777685V,0,52.0,0,0,27.32,6.2,80,0
199599287562,0,24.0,0,0,33.28,4.5,159,0
198283049307,0,65.0,0,0,27.32,4.8,140,0
958921427V,0,63.0,0,0,27.32,6.1,126,0
198491815984,1,54.0,0,0,26.35,6.0,159,0
199358571847,1,16.0,0,0,19.1,6.0,126,0
200371711684,1,23.0,0,0,26.42,6.2,145,0
200326074459,1,2.0,0,0,18.23,4.5,200,0
199612687811,0,47.0,0,0,48.27,6.5,140,0
819561427V,0,70.0,0,0,24.75,3.5,159,0
199587460400,1,61.0,0,0,27.32,5.8,90,0
198234865453,1,52.0,0,0,26.55,6.6,80,0
199287594527,0,17.0,0,0,19.94,6.0,126,0
915423402V,0,33.0,0,0,27.32,5.7,158,0
199846555793,1,46.0,0,0,27.32,6.5,130,0
788777074V,1,0.72,0,0,15.44,6.5,160,0
850868474V,0,18.0,0,0,27.9,5.0,155,0
198526806223,0,78.0,0,0,39.14,8.8,159,1
738497785V,0,59.0,0,0,29.69,6.0,126,0
200470525216,1,2.0,0,0,17.97,6.6,159,0
866269706V,1,11.0,0,0,18.9,4.5,145,0
884936106V,0,52.0,0,0,21.85,6.5,155,0
826414750V,0,29.0,0,0,42.31,5.7,159,0
719322855V,1,80.0,1,1,30.58,6.5,130,0
200336368868,0,53.0,0,0,29.81,5.0,140,0
944356357V,0,26.0,0,0,21.89,4.8,100,0
791711859V,1,19.0,0,0,27.32,6.6,158,0
199387363771,0,80.0,0,0,23.7,6.2,90,0
807296101V,1,19.0,0,0,26.29,4.0,100,0
199195414008,0,28.0,0,0,17.72,6.0,155,0
992976235V,0,30.0,0,0,28.83,6.0,145,0
989118222V,1,73.0,0,0,27.32,4.8,130,0
931254903V,1,28.0,0,0,20.6,6.1,155,0
827265814V,1,15.0,0,0,27.32,6.1,145,0
